"cellID","alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Cell Type"
20045,0.0017388,1.75,0.0012165,0.001,0.6658,9.15,-17.006,31.95,290.21,0.0029471,0.00064255,-0.0060664,0.0073148,-0.012391,12
20046,0.0010449,1.75,0.00073106,0.001,0.66568,9.15,-17.006,32.05,290.21,0.0042546,0.0022285,-0.016259,0.007721,-0.053514,12
20047,0.001279,1.75,0.0008949,0.001,0.6658,9.15,-17.005,32.15,290.22,0.0063708,0.0040818,-0.011827,-0.0018596,-0.088187,12
20048,0.0014502,1.75,0.0010148,0.001,0.66526,9.15,-17.005,32.25,290.24,0.0081855,0.0059424,0.017333,-0.013461,-0.11143,12
20049,0.0015292,1.75,0.0010701,0.001,0.66405,9.15,-17.005,32.35,290.26,0.0091012,0.0069664,0.052816,-0.017032,-0.1147,12
20050,0.0015994,1.75,0.0011192,0.001,0.66024,9.15,-17.008,32.45,290.28,0.0099532,0.0079661,0.091645,-0.017991,-0.1081,12
20051,0.0016769,1.75,0.0011736,0.001,0.65448,9.15,-17.013,32.55,290.3,0.010941,0.0091796,0.13441,-0.015259,-0.093414,12
20052,0.0017645,1.75,0.0012349,0.001,0.64477,9.15,-17.022,32.65,290.31,0.012113,0.010693,0.15903,-0.0033071,-0.072288,12
20053,0.0018171,1.75,0.0012718,0.001,0.63975,9.15,-17.027,32.75,290.32,0.012846,0.011678,0.16179,0.0015842,-0.051652,12
20054,0.0018286,1.75,0.0012798,0.001,0.63617,9.15,-17.03,32.85,290.32,0.01301,0.011904,0.15834,0.0037458,-0.032635,12
20055,0.0018077,1.75,0.001265,0.001,0.63344,9.15,-17.032,32.95,290.32,0.012711,0.011496,0.15185,0.0042795,-0.015308,12
20056,0.0017634,1.75,0.001234,0.001,0.63138,9.15,-17.034,33.05,290.33,0.012095,0.010669,0.14398,0.0038767,0.00028216,12
20057,0.0017061,1.75,0.001194,0.001,0.62975,9.15,-17.036,33.15,290.32,0.011321,0.0096613,0.13586,0.0031431,0.014184,12
20058,0.0016434,1.75,0.0011503,0.001,0.62849,9.15,-17.038,33.25,290.32,0.010506,0.0086363,0.1278,0.0024069,0.026438,12
20059,0.0015804,1.75,0.0011062,0.001,0.62756,9.15,-17.039,33.35,290.32,0.0097172,0.0076824,0.1198,0.0017878,0.037086,12
20060,0.0015193,1.75,0.0010634,0.001,0.62695,9.15,-17.039,33.45,290.31,0.008984,0.0068311,0.11173,0.0013218,0.046161,12
20061,0.0014609,1.75,0.0010222,0.001,0.62666,9.15,-17.04,33.55,290.31,0.0083043,0.0060714,0.10348,0.001,0.053695,12
20062,0.0014037,1.75,0.00098216,0.001,0.62666,9.15,-17.04,33.65,290.3,0.0076652,0.0053841,0.094956,0.00079001,0.059728,12
20063,0.0013459,1.75,0.00094183,0.001,0.62692,9.15,-17.041,33.75,290.29,0.0070478,0.0047465,0.08612,0.00065406,0.064298,12
20064,0.001286,1.75,0.00090001,0.001,0.62742,9.15,-17.04,33.85,290.29,0.006436,0.0041421,0.077013,0.00056598,0.06745,12
20065,0.0012228,1.75,0.00085574,0.001,0.62812,9.15,-17.04,33.95,290.28,0.0058215,0.0035643,0.067733,0.00050067,0.069233,12
20066,0.0011559,1.75,0.00080869,0.001,0.62898,9.15,-17.039,34.05,290.27,0.0052002,0.0030095,0.058441,0.00042491,0.069694,12
20067,0.0010847,1.75,0.00075893,0.001,0.62997,9.15,-17.039,34.15,290.27,0.0045791,0.0024865,0.049344,0.00029834,0.068889,12
