"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
8.4612e-05,1.75,0.0012165,0.01,0.6658,9.125,-17.006,31.925,290.21,0.0029471,0.00064255,0,0,0,31.9,9.1,1.7
9.2879e-05,1.75,0.00097379,0.01,0.66574,9.1,-17.006,32,290.21,0.0036009,0.0014355,0,0,0,32,9.1,1.7
0.00011193,1.75,0.00081298,0.01,0.66574,9.1,-17.006,32.1,290.22,0.0053127,0.0031552,0,0,0,32.1,9.1,1.7
0.00013046,1.75,0.00095484,0.01,0.66553,9.1,-17.005,32.2,290.23,0.0072781,0.0050121,0,0,0,32.2,9.1,1.7
0.00014174,1.75,0.0010424,0.01,0.66466,9.1,-17.005,32.3,290.25,0.0086434,0.0064544,0,0,0,32.3,9.1,1.7
0.00014841,1.75,0.0010947,0.01,0.66215,9.1,-17.006,32.4,290.27,0.0095272,0.0074663,0,0,0,32.4,9.1,1.7
0.00015498,1.75,0.0011464,0.01,0.65736,9.1,-17.01,32.5,290.29,0.010447,0.0085729,0,0,0,32.5,9.1,1.7
0.00016229,1.75,0.0012042,0.01,0.64963,9.1,-17.017,32.6,290.3,0.011527,0.0099364,0,0,0,32.6,9.1,1.7
0.00016848,1.75,0.0012533,0.01,0.64226,9.1,-17.024,32.7,290.31,0.012479,0.011186,0,0,0,32.7,9.1,1.7
0.00017131,1.75,0.0012758,0.01,0.63796,9.1,-17.028,32.8,290.32,0.012928,0.011791,0,0,0,32.8,9.1,1.7
0.00017089,1.75,0.0012724,0.01,0.63481,9.1,-17.031,32.9,290.32,0.012861,0.0117,0,0,0,32.9,9.1,1.7
0.000168,1.75,0.0012495,0.01,0.63241,9.1,-17.033,33,290.32,0.012403,0.011082,0,0,0,33,9.1,1.7
0.00016351,1.75,0.001214,0.01,0.63056,9.1,-17.035,33.1,290.32,0.011708,0.010165,0,0,0,33.1,9.1,1.7
0.0001582,1.75,0.0011721,0.01,0.62912,9.1,-17.037,33.2,290.32,0.010914,0.0091488,0,0,0,33.2,9.1,1.7
0.00015262,1.75,0.0011282,0.01,0.62802,9.1,-17.038,33.3,290.32,0.010112,0.0081593,0,0,0,33.3,9.1,1.7
0.00014711,1.75,0.0010848,0.01,0.62726,9.1,-17.039,33.4,290.32,0.0093506,0.0072568,0,0,0,33.4,9.1,1.7
0.00014177,1.75,0.0010428,0.01,0.62681,9.1,-17.04,33.5,290.31,0.0086441,0.0064513,0,0,0,33.5,9.1,1.7
0.00013655,1.75,0.0010022,0.01,0.62666,9.1,-17.04,33.6,290.3,0.0079847,0.0057278,0,0,0,33.6,9.1,1.7
0.00013135,1.75,0.00096199,0.01,0.62679,9.1,-17.04,33.7,290.3,0.0073565,0.0050653,0,0,0,33.7,9.1,1.7
0.00012601,1.75,0.00092092,0.01,0.62717,9.1,-17.04,33.8,290.29,0.0067419,0.0044443,0,0,0,33.8,9.1,1.7
0.00012042,1.75,0.00087788,0.01,0.62777,9.1,-17.04,33.9,290.28,0.0061288,0.0038532,0,0,0,33.9,9.1,1.7
0.00011446,1.75,0.00083222,0.01,0.62855,9.1,-17.04,34,290.28,0.0055108,0.0032869,0,0,0,34,9.1,1.7
0.00010807,1.75,0.00078381,0.01,0.62947,9.1,-17.039,34.1,290.27,0.0048896,0.002748,0,0,0,34.1,9.1,1.7
0.00010127,1.75,0.00073276,0.01,0.63049,9.1,-17.039,34.2,290.26,0.0042737,0.0022462,0,0,0,34.2,9.1,1.7
9.4094e-05,1.75,0.00067925,0.01,0.63155,9.1,-17.038,34.3,290.26,0.0036732,0.0017906,0,0,0,34.3,9.1,1.7
8.6623e-05,1.75,0.00062384,0.01,0.63262,9.1,-17.037,34.4,290.25,0.0031007,0.0013898,0,0,0,34.4,9.1,1.7
7.8995e-05,1.75,0.00056785,0.01,0.63366,9.1,-17.036,34.5,290.25,0.0025711,0.0010502,0,0,0,34.5,9.1,1.7
7.1402e-05,1.75,0.00051294,0.01,0.63466,9.1,-17.035,34.6,290.24,0.0020983,0.00077463,0,0,0,34.6,9.1,1.7
6.4648e-05,1.75,0.00046462,0.01,0.63557,9.1,-17.035,34.7,290.24,0.0017201,0.00057435,0,0,0,34.7,9.1,1.7
5.964e-05,1.75,0.00042908,0.01,0.63624,9.1,-17.034,34.8,290.23,0.0014657,0.00045111,0,0,0,34.8,9.1,1.7
